host_id,host_since,host_location,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified
23854454,2014-11-17,"Paris, Ile-de-France, France",0,1,1,1
24121498,2014-11-24,"Paris, Ile-de-France, France",0,1,1,1
14125245,2014-04-10,"Paris, Ile-de-France, France",0,1,1,1
25959249,2015-01-11,"Paris, Ile-de-France, France",0,1,1,1
27482292,2015-02-09,"Paris, Ile-de-France, France",0,1,1,1
6587156,2013-05-26,"Paris, Ile-de-France, France",0,1,1,1
703990,2011-06-15,"Paris, Ile-de-France, France",0,1,1,1
5934910,2013-04-15,"Paris, Ile-de-France, France",0,1,1,1
26507714,2015-01-22,"Paris, Ile-de-France, France",0,1,1,1
14475363,2014-04-19,"Paris, Ile-de-France, France",0,1,1,1
19074849,2015-04-25,"Paris, Ile-de-France, France",0,1,1,1
6240353,2013-05-05,"Paris, Ile-de-France, France",0,1,1,1
33794936,2015-05-20,"Paris, Ile-de-France, France",0,1,1,1
1766970,2012-02-17,"Paris, Ile-de-France, France",0,1,1,1
